학교이름,링크
ICT폴리텍대학,https://ipsi.ict.ac.kr/
ICT폴리텍대학,http://www.ict.ac.kr/
가야대학교,http://www.kaya.ac.kr
가야대학교,https://ipsi.kaya.ac.kr/
가천대학교,https://admission.gachon.ac.kr/
가톨릭관동대학교,http://www.cku.ac.kr/
가톨릭꽃동네대학교,http://www.kkot.ac.kr
가톨릭대학교,https://www.catholic.ac.kr/
가톨릭상지대학교,http://www.csj.ac.kr
감리교신학대학교,http://www.mtu.ac.kr/mtu/main.jsp
강남대학교,http://www.kangnam.ac.kr
강동대학교,http://www.gangdong.ac.kr/
강동대학교,https://www.gangdong.ac.kr/ipsi/
강릉영동대학교,http://www.gyc.ac.kr
강릉영동대학교,https://www.gyu.ac.kr/ipsi/
강서대학교,http://www.kcu.ac.kr
강원대학교,http://www.kangwon.ac.kr
"강원대학교(강릉캠퍼스,원주캠퍼스)",http://www.gwnu.ac.kr/
강원도립대학,http://www.gw.ac.kr/
강원도립대학교,https://ipsi.gw.ac.kr/
거제대학교,http://www.koje.ac.kr
거제대학교,https://enter.koje.ac.kr/
건국대학교,https://enter.konkuk.ac.kr/
건국대학교 글로컬,https://enter.kku.ac.kr/
건국대학교 서울캠퍼스,http://www.konkuk.ac.kr
건국대학교(글로컬),http://www.kku.ac.kr
건양대학교,http://www.konyang.ac.kr
건양대학교,https://ipsi.konyang.ac.kr/
경기과학기술대학교,http://www.gtec.ac.kr
경기과학기술대학교,https://www.gtec.ac.kr/ipsi/
경기과학기술대학교 조기취업형 계약학과,https://www.gtec.ac.kr
경기대학교,https://enter.kyonggi.ac.kr/
경기대학교,https://enter.kyonggi.ac.kr/intro.do
경남대학교,http://www.kyungnam.ac.kr
경남도립남해대학,http://www.namhae.ac.kr
경남정보대학교,http://www.kit.ac.kr
경남정보대학교,https://iphak.kit.ac.kr/
경동대학교,https://www.kduniv.ac.kr/iphak/Main.do
경동대학교,http://www.kduniv.ac.kr/
경민대학교,http://www.kyungmin.ac.kr
경복대학교,http://www.kbu.ac.kr
경북과학대학교,http://www.kbcs.ac.kr
경북대학교,https://www.knu.ac.kr/wbbs/wbbs/main/main.action
경북대학교,http://www.knu.ac.kr
경북보건대학교,https://ipsi.gch.ac.kr/
경북보건대학교,http://www.gch.ac.kr
경북전문대학교,https://ipsi.kbc.ac.kr/
경북전문대학교,http://www.kbc.ac.kr/
경상국립대학교,https://www.gnu.ac.kr/new/main.do
경성대학교,http://www.ks.ac.kr
경운대학교,http://ipsi.ikw.ac.kr/renew2/
경인교육대학교,https://ipsi.ginue.ac.kr/ipsi/Main.do
경인여자대학교,http://www.kiwu.ac.kr
경일대학교,http://www.kiu.ac.kr
경희대학교,http://www.khu.ac.kr
계명대학교,https://www.gokmu.ac.kr/main.htm
계명문화대학교,http://www.kmcu.ac.kr/
계명문화대학교,https://www.kmcu.ac.kr/
계원예술대학교,http://www.kaywon.ac.kr
고려대학교(서울),http://www.korea.ac.kr
고려대학교(세종),https://oku.korea.ac.kr/sejong/index.do
고신대학교,http://www.kosin.ac.kr
공주교육대학교,http://www.kongju-e.ac.kr
광신대학교,http://www.kwangshin.ac.kr
광양보건대학교,http://gy.ac.kr
광운대학교,http://iphak.kw.ac.kr
광주교육대학교,http://www.gnue.ac.kr/
광주대학교,http://www.gwangju.ac.kr
광주대학교,https://iphak.gwangju.ac.kr/
광주보건대학교,http://www.ghu.ac.kr/
광주여자대학교,https://ipsi.kwu.ac.kr/
광주여자대학교,http://www.kwu.ac.kr
구미대학교,http://www.gumi.ac.kr
구미대학교,https://ipsi.gumi.ac.kr/
국립경국대학교(국립안동대학교),https://www.gknu.ac.kr/main/index.do
국립공주대학교,http://www.kongju.ac.kr/
국립군산대학교,http://www.kunsan.ac.kr
국립금오공과대학교,http://www.kumoh.ac.kr
국립목포대학교,http://www.mokpo.ac.kr
국립목포해양대학교,http://www.mmu.ac.kr/intro
국립부경대학교,http://www.pknu.ac.kr/
국립순천대학교,https://www.scnu.ac.kr/iphak/main.do
국립인천대학교,https://admission.inu.ac.kr/
국립창원대학교,http://ipsi.changwon.ac.kr
국립한국교통대학교,https://www.ut.ac.kr/ipsi.do
국립한국농수산대학,http://www.af.ac.kr/
국립한국해양대학교,http://www.kmou.ac.kr
국립한밭대학교,http://admission.hanbat.ac.kr/html/kr/
국민대학교,http://www.kookmin.ac.kr
국제대학교,http://www.kookje.ac.kr
국제대학교,https://ipsi.kookje.ac.kr/
국제예술대학교,http://kua.ac.kr/
군산간호대학교,http://www.kcn.ac.kr
군장대학교,http://www.kunjang.ac.kr
극동대학교,http://www.kdu.ac.kr
금강대학교,http://www.ggu.ac.kr
기독간호대학교,http://www.ccn.ac.kr
김천대학교,https://ibhak.gimcheon.ac.kr/
김포대학교,http://www.kimpo.ac.kr
김해대학교,http://www.gimhae.ac.kr/
나사렛대학교,http://www.kornu.ac.kr/
남부대학교,http://www.nambu.ac.kr
단국대학교,http://www.dankook.ac.kr
대경대학교,http://www.tk.ac.kr
대구가톨릭대학교,https://ibsi.cu.ac.kr/
대구가톨릭대학교,http://www.cu.ac.kr/
대구공업대학교,https://www.ttc.ac.kr/
대구공업대학교,https://entr.ttc.ac.kr/
대구과학대학교,http://www.tsu.ac.kr
대구과학대학교,https://ipsi.tsu.ac.kr/
대구교육대학교,http://www.dnue.ac.kr
대구대학교,https://ipsi.daegu.ac.kr/
대구대학교,http://ipsi.daegu.ac.kr
대구보건대학교,http://www.dhc.ac.kr/
대구보건대학교,https://www.dhc.ac.kr/iphak
대구예술대학교,https://www.dgau.ac.kr/
대구한의대학교,http://www.dhu.ac.kr
대덕대학교,http://www.ddc.ac.kr
대덕대학교,https://ipsi.ddu.ac.kr/
대동대학교,http://www.daedong.ac.kr
대동대학교,https://ipsi.daedong.ac.kr/
대림대학교,https://ent.daelim.ac.kr/
대림대학교,http://www.daelim.ac.kr
대신대학교,http://www.daeshin.ac.kr/html/intro/
대원대학교,https://www.daewon.ac.kr/mbs/ipsi/
대전과학기술대학교,http://www.hu.ac.kr/
대전과학기술대학교,https://ipsi.dst.ac.kr/
대전대학교,https://ipsi.dju.ac.kr/enter/html/main/intro.asp
대전보건대학교,https://ipsi.hit.ac.kr/
대진대학교,http://www.daejin.ac.kr
덕성여자대학교,http://www.duksung.ac.kr/
동강대학교,http://www.dkc.ac.kr/
동국대학교 WISE,https://ipsi.dongguk.ac.kr/
동국대학교(WISE),http://web.dongguk.ac.kr/
동남보건대학교,http://www.dongnam.ac.kr/
