학교명,링크,결과,
일반원서접수,https://enter.jinhakapply.com,OK,
학교장추천전형 시스템,https://rpa.jinhakapply.com/Site/RpaServiceList,OK,
학교생활기록부 온라인 신청,https://apply.neis.go.kr/nxui/index.html,OK,
,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingB/L23/915036147/x10/JINHAKAPPLY/2504_ict_RollingB_609x250_10/2504_ict_RollingB_609x250_10_250418.html/792f7563516d69784e33304143366679,OK,
,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingB/L23/566406969/x03/JINHAKAPPLY/2506_mjc_RollingB_609x250_3/2506_mjc_RollingB_609x250_3_250610.html/792f7563516d69784e3330414336616e,OK,
,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingB/L23/1617257772/x01/JINHAKAPPLY/2504_dongyang_RollingB_609x250_1/2504_dongyang_RollingB_609x250_1_250417.html/792f7563516d69784e33304143366359,OK,
,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingB/L23/825086064/x07/JINHAKAPPLY/2507_seoil_RollingB_609x250_7/2507_seoil_RollingB_609x250_7_250725.html/792f7563516d69784e33304143366c56,OK,
,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingB/L23/208863886/x04/JINHAKAPPLY/2504_gangdong_RollingB_609x250_4/2504_gangdong_RollingB_609x250_4_250417.html/792f7563516d69784e33304143366c56,Error: SSLError,x
,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingB/L23/1195905855/x08/JINHAKAPPLY/2504_jb_RollingB_609x250_8/2504_jb_RollingB_609x250_8_250422.html/792f7563516d69784e33304143366c56,OK,
,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingB/L23/1563931048/x05/JINHAKAPPLY/2506_daewon_RollingB_609x250_5/2506_daewon_RollingB_609x250_5_250619.html/792f7563516d69784e33304143366c56,OK,
,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingB/L23/1036867311/x09/JINHAKAPPLY/2504_gch_RollingB_609x250_9/2504_gch_RollingB_609x250_9_250418.html/792f7563516d69784e33304143365770,OK,
,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingB/L23/1705476289/x02/JINHAKAPPLY/2504_kopo_RollingB_609x250_2/2504_kopo_RollingB_609x250_2_250417.html/792f7563516d69784e33304143366138,OK,
,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/TopL/L19/1209888904/x01/JINHAKAPPLY/2504_shingu_TopL_195x94_1/2504_shingu_TopL_195x94_1_250405.html/792f7563516d69784e33304143366c56,OK,
