name,href,status,title,ok,note
가야대학교,http://www.kaya.ac.kr,200,,N,empty title
강서대학교,http://www.kcu.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at http://www.kcu.ac.kr/
Call log:
  - navigating to ""http://www.kcu.ac.kr/"", waiting until ""domcontentloaded""
"
경기대학교,https://enter.kyonggi.ac.kr,200,,N,empty title
건국대학교 서울캠퍼스,http://www.konkuk.ac.kr,,,N,timeout
경남대학교,http://www.kyungnam.ac.kr,,,N,timeout
경북대학교,https://www.knu.ac.kr,,,N,timeout
경동대학교,http://www.kduniv.ac.kr,,,N,timeout
경일대학교,http://www.kiu.ac.kr,200,,N,empty title
계명대학교,https://www.gokmu.ac.kr,200,,N,empty title
공주교육대학교,http://www.kongju-e.ac.kr,470,Cloudbric | ERROR! | 470,N,http 470
광운대학교,http://iphak.kw.ac.kr,200,,N,empty title
광주여자대학교,http://www.kwu.ac.kr,200,,N,empty title
국립한밭대학교,http://admission.hanbat.ac.kr,200,,N,empty title
국립창원대학교,http://ipsi.changwon.ac.kr,200,,N,empty title
국립한국해양대학교,http://www.kmou.ac.kr,200,,N,empty title
단국대학교,http://www.dankook.ac.kr,200,,N,empty title
대전대학교,https://ipsi.dju.ac.kr,200,,N,empty title
대진대학교,http://www.daejin.ac.kr,200,,N,empty title
동신대학교,http://www.dongshinu.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at http://www.dongshinu.ac.kr/
Call log:
  - navigating to ""http://www.dongshinu.ac.kr/"", waiting until ""domcontentloaded""
"
동아대학교,http://www.donga.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_CONNECTION_RESET at http://www.donga.ac.kr/
Call log:
  - navigating to ""http://www.donga.ac.kr/"", waiting until ""domcontentloaded""
"
국립목포해양대학교,http://www.mmu.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_CONNECTION_REFUSED at http://www.mmu.ac.kr/
Call log:
  - navigating to ""http://www.mmu.ac.kr/"", waiting until ""domcontentloaded""
"
동의대학교,https://ipsi.deu.ac.kr,200,,N,empty title
상명대학교,https://admission.smu.ac.kr,200,,N,empty title
서울교육대학교,www.snue.ac.kr,,,N,"exception: Error: Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""www.snue.ac.kr"", waiting until ""domcontentloaded""
"
서원대학교,http://www.seowon.ac.kr,200,,N,empty title
성공회대학교,http://www.skhu.ac.kr,200,,N,empty title
성신여자대학교,http://www.sungshin.ac.kr,200,,N,empty title
세한대학교,https://apply.sehan.ac.kr,404,404 Not Found,N,http 404
동양대학교,http://www.dyu.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_CONNECTION_REFUSED at http://www.dyu.ac.kr/
Call log:
  - navigating to ""http://www.dyu.ac.kr/"", waiting until ""domcontentloaded""
"
연세대학교(미래),https://admission.yonsei.ac.kr,200,,N,empty title
연세대학교(서울),http://www.yonsei.ac.kr,200,,N,empty title
영남대학교,http://enter.yu.ac.kr,200,,N,empty title
예원예술대학교,https://www.yewon.ac.kr,200,,N,empty title
서울한영대학교,http://ipsi.hytu.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_CONNECTION_REFUSED at http://ipsi.hytu.ac.kr/
Call log:
  - navigating to ""http://ipsi.hytu.ac.kr/"", waiting until ""domcontentloaded""
"
성결대학교,http://www.sungkyul.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_CONNECTION_REFUSED at http://www.sungkyul.ac.kr/
Call log:
  - navigating to ""http://www.sungkyul.ac.kr/"", waiting until ""domcontentloaded""
"
인천대학교,http://www.inu.ac.kr,200,,N,empty title
인하대학교,http://www.inha.ac.kr,200,,N,empty title
서울여자대학교,http://www.swu.ac.kr,,,N,timeout
전북대학교,https://www.jbnu.ac.kr,200,,N,empty title
제주대학교,http://www.cheju.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at http://www.cheju.ac.kr/
Call log:
  - navigating to ""http://www.cheju.ac.kr/"", waiting until ""domcontentloaded""
"
중원대학교,http://www.jwu.ac.kr,200,,N,empty title
신한대학교,http://ipsi.shinhan.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_CONNECTION_REFUSED at http://ipsi.shinhan.ac.kr/
Call log:
  - navigating to ""http://ipsi.shinhan.ac.kr/"", waiting until ""domcontentloaded""
"
한국공학대학교,https://iphak.tukorea.ac.kr,200,,N,empty title
