name,href,status,title,ok,note
감리교신학대학교,http://www.mtu.ac.kr/mtu/main.jsp,404,HTTP Status 404 – Not Found,N,http 404
가야대학교,http://www.kaya.ac.kr,200,,N,empty title
강서대학교,http://www.kcu.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at http://www.kcu.ac.kr/
Call log:
  - navigating to ""http://www.kcu.ac.kr/"", waiting until ""domcontentloaded""
"
경일대학교,http://www.kiu.ac.kr,200,,N,empty title
경운대학교,http://ipsi.ikw.ac.kr/renew2/,404,| 경운대학교,N,http 404
경동대학교,http://www.kduniv.ac.kr/,,,N,timeout
공주교육대학교,http://www.kongju-e.ac.kr,470,Cloudbric | ERROR! | 470,N,http 470
광운대학교,http://iphak.kw.ac.kr,200,,N,empty title
광주여자대학교,http://www.kwu.ac.kr,200,,N,empty title
국립창원대학교,http://ipsi.changwon.ac.kr,200,,N,empty title
단국대학교,http://www.dankook.ac.kr,200,,N,empty title
국립목포해양대학교,http://www.mmu.ac.kr/intro,,,N,"exception: Error: Page.goto: net::ERR_CONNECTION_REFUSED at http://www.mmu.ac.kr/intro
Call log:
  - navigating to ""http://www.mmu.ac.kr/intro"", waiting until ""domcontentloaded""
"
대진대학교,http://www.daejin.ac.kr,200,,N,empty title
동아대학교,http://www.donga.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_CONNECTION_RESET at http://www.donga.ac.kr/
Call log:
  - navigating to ""http://www.donga.ac.kr/"", waiting until ""domcontentloaded""
"
동신대학교,http://www.dongshinu.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at http://www.dongshinu.ac.kr/
Call log:
  - navigating to ""http://www.dongshinu.ac.kr/"", waiting until ""domcontentloaded""
"
상명대학교,https://admission.smu.ac.kr/,200,,N,empty title
서울교육대학교,www.snue.ac.kr,,,N,"exception: Error: Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""www.snue.ac.kr"", waiting until ""domcontentloaded""
"
서원대학교,http://www.seowon.ac.kr/,200,,N,empty title
성공회대학교,http://www.skhu.ac.kr/,200,,N,empty title
성신여자대학교,http://www.sungshin.ac.kr/,200,,N,empty title
동양대학교,http://www.dyu.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_CONNECTION_REFUSED at http://www.dyu.ac.kr/
Call log:
  - navigating to ""http://www.dyu.ac.kr/"", waiting until ""domcontentloaded""
"
연세대학교(서울),http://www.yonsei.ac.kr/,200,,N,empty title
영남대학교,http://enter.yu.ac.kr/,200,,N,empty title
예원예술대학교,https://www.yewon.ac.kr/intro.html,404,404 Not Found,N,http 404
서울한영대학교,http://ipsi.hytu.ac.kr/,,,N,"exception: Error: Page.goto: net::ERR_CONNECTION_REFUSED at http://ipsi.hytu.ac.kr/
Call log:
  - navigating to ""http://ipsi.hytu.ac.kr/"", waiting until ""domcontentloaded""
"
성결대학교,http://www.sungkyul.ac.kr/,,,N,"exception: Error: Page.goto: net::ERR_CONNECTION_REFUSED at http://www.sungkyul.ac.kr/
Call log:
  - navigating to ""http://www.sungkyul.ac.kr/"", waiting until ""domcontentloaded""
"
인천대학교,http://www.inu.ac.kr,200,,N,empty title
인하대학교,http://www.inha.ac.kr,200,,N,empty title
